model,origin_time,start_forecast_time,end_forecast_time,n_points,MAE,RMSE,sMAPE
seasonal_naive,1992-12-21,1992-12-28,1993-01-18,4,1.7550000000000003,1.7643979143039137,21.137004442925498
seasonal_naive,1993-01-18,1993-01-25,1993-02-15,4,1.2374999999999998,1.2602083161128559,14.597409909909906
seasonal_naive,1993-02-15,1993-02-22,1993-03-15,4,1.145,1.145294721894762,16.40571294185752
seasonal_naive,1993-03-15,1993-03-22,1993-04-12,4,1.0549999999999997,1.0602122429023348,14.599137289900337
seasonal_naive,1993-04-12,1993-04-19,1993-05-10,4,2.27,2.6258903252040064,29.010554719774575
seasonal_naive,1993-05-10,1993-05-17,1993-06-07,4,2.18,2.6231564955221414,28.876158057267023
seasonal_naive,1993-06-07,1993-06-14,1993-07-05,4,0.5050000000000001,0.6824221567329126,6.4513700692562495
seasonal_naive,1993-07-05,1993-07-12,1993-08-02,4,1.4649999999999999,1.4926151546865654,19.13848631239935
seasonal_naive,1993-08-02,1993-08-09,1993-08-30,4,1.96,1.96,28.405797101449274
seasonal_naive,1993-08-30,1993-09-06,1993-09-27,4,1.1999999999999993,1.1999999999999993,15.04702194357366
seasonal_naive,1993-09-27,1993-10-04,1993-10-25,4,1.3000000000000007,1.3000000000000007,16.250000000000007
seasonal_naive,1993-10-25,1993-11-01,1993-11-22,4,1.0,1.0,15.923566878980893
seasonal_naive,1993-11-22,1993-11-29,1993-12-20,4,0.8499999999999999,0.854400374531753,11.528061531065976
seasonal_naive,1993-12-20,1993-12-27,1994-01-17,4,1.54625,1.6051538088295465,21.53727042692206
seasonal_naive,1994-01-17,1994-01-24,1994-02-14,4,1.1475000000000004,1.2733862336306296,16.06869120884596
seasonal_naive,1994-02-14,1994-02-21,1994-03-14,4,0.9237499999999996,0.9438518156999005,13.77049220663899
seasonal_naive,1994-03-14,1994-03-21,1994-04-11,4,0.6199999999999997,0.7220110802473875,9.218154080854305
seasonal_naive,1994-04-11,1994-04-18,1994-05-09,4,0.14500000000000002,0.17902513789968155,2.0011148272017842
seasonal_naive,1994-05-09,1994-05-16,1994-06-06,4,0.04875000000000007,0.05105144464165543,0.7529285222097117
seasonal_naive,1994-06-06,1994-06-13,1994-07-04,4,0.10000000000000009,0.10897247358851686,1.3342000216672094
seasonal_naive,1994-07-04,1994-07-11,1994-08-01,4,0.15625,0.15958931668504625,2.1600540013500344
seasonal_naive,1994-08-01,1994-08-08,1994-08-29,4,0.10000000000000053,0.10000000000000053,1.67504187604691
seasonal_naive,1994-08-29,1994-09-05,1994-09-26,4,0.25,0.25,3.3333333333333335
seasonal_naive,1994-09-26,1994-10-03,1994-10-24,4,1.7899999999999991,1.7899999999999991,27.73044151820293
seasonal_naive,1994-10-24,1994-10-31,1994-11-21,4,1.5887500000000003,1.7744347691589009,23.516875409561923
seasonal_naive,1994-11-21,1994-11-28,1994-12-19,4,0.6050000000000002,1.028214471790784,8.747146351221934
seasonal_naive,1994-12-19,1994-12-26,1995-01-16,4,0.3612499999999996,0.3861427844722722,5.947421782876532
seasonal_naive,1995-01-16,1995-01-23,1995-02-13,4,0.43249999999999966,0.432565024013731,6.567755709240391
seasonal_naive,1995-02-13,1995-02-20,1995-03-13,4,0.4874999999999998,0.49149008128343735,6.630746753059255
seasonal_naive,1995-03-13,1995-03-20,1995-04-10,4,0.3624999999999998,0.4081206929328625,4.926795524836924
seasonal_naive,1995-04-10,1995-04-17,1995-05-08,4,0.09750000000000014,0.12454918707081142,1.3394742214131339
seasonal_naive,1995-05-08,1995-05-15,1995-06-05,4,0.027500000000000302,0.03041381265149125,0.4182025971697848
seasonal_naive,1995-06-05,1995-06-12,1995-07-03,4,0.3887499999999997,0.7038332544005004,5.577389651971366
seasonal_naive,1995-07-03,1995-07-10,1995-07-31,4,1.1037499999999996,1.2208680313612927,16.039095305872433
seasonal_naive,1995-07-31,1995-08-07,1995-08-28,4,1.7799999999999994,1.7799999999999994,25.759768451519527
seasonal_naive,1995-08-28,1995-09-04,1995-09-25,4,0.22499999999999964,0.22499999999999964,2.90791599353796
seasonal_naive,1995-09-25,1995-10-02,1995-10-23,4,0.379999999999999,0.379999999999999,6.608695652173895
seasonal_naive,1995-10-23,1995-10-30,1995-11-20,4,0.6012499999999996,0.6146696267101537,8.413442694345642
seasonal_naive,1995-11-20,1995-11-27,1995-12-18,4,0.37499999999999956,0.4130677910464573,4.99007466839425
seasonal_naive,1995-12-18,1995-12-25,1996-01-15,4,0.09874999999999923,0.1417965091248719,1.4329394693200534
seasonal_naive,1996-01-15,1996-01-22,1996-02-12,4,0.3324999999999996,0.4428459099957907,4.635386887745371
