model,origin_time,start_forecast_time,end_forecast_time,n_points,MAE,RMSE,sMAPE
time_regression,1992-12-21,1992-12-28,1993-01-18,4,0.617389078469595,0.6578570912347944,7.3842963217947215
time_regression,1993-01-18,1993-01-25,1993-02-15,4,0.8032179994482251,0.8173079719937754,9.765107154367733
time_regression,1993-02-15,1993-02-22,1993-03-15,4,2.065970295620268,2.20939583064936,27.984629073544916
time_regression,1993-03-15,1993-03-22,1993-04-12,4,1.6479771435019601,1.8134283184704159,22.077412843237486
time_regression,1993-04-12,1993-04-19,1993-05-10,4,1.6702712005472753,1.8796639157563981,22.554810458841537
time_regression,1993-05-10,1993-05-17,1993-06-07,4,2.0460023126261673,2.143067494909208,28.215658279749093
time_regression,1993-06-07,1993-06-14,1993-07-05,4,0.8139483820708,0.8153660308622757,10.310080966113564
time_regression,1993-07-05,1993-07-12,1993-08-02,4,1.2219393833778842,1.3999532204454603,16.334396237150855
time_regression,1993-08-02,1993-08-09,1993-08-30,4,2.3374940832917828,2.3376899572991894,32.973953491567684
time_regression,1993-08-30,1993-09-06,1993-09-27,4,0.779776981557752,0.7805443452040601,10.041403584417413
time_regression,1993-09-27,1993-10-04,1993-10-25,4,0.7837316265934411,0.7842911325789206,10.12259685492502
time_regression,1993-10-25,1993-11-01,1993-11-22,4,2.343010317791328,2.3431602638485356,33.7044749373368
time_regression,1993-11-22,1993-11-29,1993-12-20,4,0.9315951195722534,1.1812493537656634,12.883317713652332
time_regression,1993-12-20,1993-12-27,1994-01-17,4,1.4634612381589671,1.5991420614568481,20.518261748045102
time_regression,1994-01-17,1994-01-24,1994-02-14,4,1.1443409319867508,1.2279184583280682,16.040053481411192
time_regression,1994-02-14,1994-02-21,1994-03-14,4,0.5998165665596251,0.6079073629087572,8.094276337124493
time_regression,1994-03-14,1994-03-21,1994-04-11,4,0.47676318689394237,0.4956677897449189,6.422727117279809
time_regression,1994-04-11,1994-04-18,1994-05-09,4,0.9912442782715141,1.2230486935085119,14.286704201380982
time_regression,1994-05-09,1994-05-16,1994-06-06,4,1.2779173438968099,1.4070780463683683,18.67441550909889
time_regression,1994-06-06,1994-06-13,1994-07-04,4,0.10396727851276544,0.12012735413586945,1.3869565847993452
time_regression,1994-07-04,1994-07-11,1994-08-01,4,0.4488719277808779,0.8003325368723522,6.509283340570263
time_regression,1994-08-01,1994-08-08,1994-08-29,4,1.5386644434421075,1.538985333270473,22.662022539574018
time_regression,1994-08-29,1994-09-05,1994-09-26,4,0.13276724144755292,0.13713018842553126,1.7575406778914946
time_regression,1994-09-26,1994-10-03,1994-10-24,4,1.935564679556443,1.935878245142837,29.649970730674408
time_regression,1994-10-24,1994-10-31,1994-11-21,4,0.7357501324954658,0.9801946473588072,10.707121735355997
time_regression,1994-11-21,1994-11-28,1994-12-19,4,0.2620264146405058,0.2758592671273046,3.453143202071352
time_regression,1994-12-19,1994-12-26,1995-01-16,4,1.363376228450857,1.5118108994588377,20.51480839836418
time_regression,1995-01-16,1995-01-23,1995-02-13,4,0.9139738842276814,1.1348664113888025,13.755905986027766
time_regression,1995-02-13,1995-02-20,1995-03-13,4,0.32583055759890756,0.32599183939219245,4.381256740530645
time_regression,1995-03-13,1995-03-20,1995-04-10,4,0.3010417690503553,0.3029983321704985,4.05427271310243
time_regression,1995-04-10,1995-04-17,1995-05-08,4,0.7932463350305954,0.9421346746162805,11.737748790201533
time_regression,1995-05-08,1995-05-15,1995-06-05,4,0.996963048907501,1.0958898162480457,15.001487130988247
time_regression,1995-06-05,1995-06-12,1995-07-03,4,0.45641300786403716,0.5553249058957607,6.533290090392574
time_regression,1995-07-03,1995-07-10,1995-07-31,4,0.9796262689168522,0.9796827408978745,14.59979005906127
time_regression,1995-07-31,1995-08-07,1995-08-28,4,0.6336216017308096,0.633746923646934,8.467414603141323
time_regression,1995-08-28,1995-09-04,1995-09-25,4,0.6645243777654275,0.6646232746283857,8.83954079133106
time_regression,1995-09-25,1995-10-02,1995-10-23,4,1.2617618357592975,1.2618395181374584,19.202118835303068
time_regression,1995-10-23,1995-10-30,1995-11-20,4,0.32479104872345466,0.6127903714618911,4.932584433640643
time_regression,1995-11-20,1995-11-27,1995-12-18,4,0.17811589061062683,0.2055712298341338,2.4463250180028298
time_regression,1995-12-18,1995-12-25,1996-01-15,4,1.1025430931628442,1.2094672713821903,16.92514470184633
time_regression,1996-01-15,1996-01-22,1996-02-12,4,0.6966773898802354,0.9146005302819257,10.774367311136649
time_regression,1996-02-12,1996-02-19,1996-03-11,4,0.26539568998968277,0.3476079120369501,3.668524019897057
time_regression,1996-03-11,1996-03-18,1996-04-08,4,0.46643583126265264,0.46715704009892295,6.64231154028995
time_regression,1996-04-08,1996-04-15,1996-05-06,4,0.5377914390122933,0.5679553916008365,7.661897720912325
time_regression,1996-05-06,1996-05-13,1996-06-03,4,0.9233520953503791,0.9282278451781995,12.395116349706077
time_regression,1996-06-03,1996-06-10,1996-07-01,4,1.026696023345952,1.029537037245798,14.056515560749986
