model,origin_time,forecast_time,horizon_step,y_true,y_pred,abs_error,squared_error,sMAPE_point,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics
time_regression,1992-12-21,1992-12-28,1,8.35,15.280720050917353,6.930720050917353,48.03488042418783,0.5865856000988255,False,False,False,True
time_regression,1992-12-21,1993-01-04,2,7.975,15.676045786541636,7.701045786541636,59.30610620641068,0.6512224327030672,True,False,False,False
time_regression,1992-12-21,1993-01-11,3,7.975,15.670307258025787,7.695307258025787,59.21775379542436,0.6508950950860505,True,False,False,False
time_regression,1992-12-21,1993-01-18,4,7.975,15.664568729509028,7.689568729509029,59.129467245843095,0.650567598545926,True,False,False,False
time_regression,1993-01-18,1993-01-25,1,7.975,15.21142945646352,7.2364294564635205,52.36591127837292,0.62419524058684,True,False,False,False
time_regression,1993-01-18,1993-02-01,2,7.775,15.224156692567703,7.449156692567703,55.4899354304262,0.6477765069512255,False,False,False,False
time_regression,1993-01-18,1993-02-08,3,7.775,15.220906327649573,7.445906327649572,55.44152104013194,0.6475853764195276,False,False,False,False
time_regression,1993-01-18,1993-02-15,4,7.775,15.217655962731897,7.442655962731896,55.393127779588646,0.6473941918493865,False,False,False,False
time_regression,1993-02-15,1993-02-22,1,7.775,14.640726744646145,6.865726744646144,47.13820373214934,0.6125812312809337,False,False,False,False
time_regression,1993-02-15,1993-03-01,2,6.0600000000000005,14.648588993647536,8.588588993647535,73.76386090180358,0.8294711915217524,False,False,False,False
time_regression,1993-02-15,1993-03-08,3,6.0600000000000005,14.648366695195364,8.588366695195363,73.76004249114092,0.8294586262264697,False,False,False,False
time_regression,1993-02-15,1993-03-15,4,6.0600000000000005,14.648144396744101,8.5881443967441,73.75622417932709,0.8294460606614658,False,False,False,False
time_regression,1993-03-15,1993-03-22,1,6.0600000000000005,10.077839866993827,4.0178398669938264,16.14303719680497,0.49794023241132496,False,False,False,False
time_regression,1993-03-15,1993-03-29,2,6.0600000000000005,10.096120609169475,4.036120609169474,16.29026957176257,0.49963982156443626,False,False,False,False
time_regression,1993-03-15,1993-04-05,3,7.625,10.04985056563146,2.424850565631459,5.879900265643207,0.27438427913462,False,False,False,False
time_regression,1993-03-15,1993-04-12,4,7.625,10.06813130780688,2.4431313078068797,5.968890587186154,0.2761672046969863,False,False,False,False
time_regression,1993-04-12,1993-04-19,1,7.625,13.3626698015496,5.7376698015496,32.92085475161423,0.5467657777926319,False,False,False,False
