model,origin_time,forecast_time,horizon_step,y_true,y_pred,abs_error,squared_error,sMAPE_point,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics
rolling_average,1992-12-21,1992-12-28,1,4.1,3.975,0.12499999999999956,0.015624999999999889,0.030959752321981317,False,False,False,True
rolling_average,1992-12-21,1993-01-04,2,4.45,3.975,0.4750000000000001,0.22562500000000008,0.11275964391691395,True,False,False,False
rolling_average,1992-12-21,1993-01-11,3,4.45,3.975,0.4750000000000001,0.22562500000000008,0.11275964391691395,True,False,False,False
rolling_average,1992-12-21,1993-01-18,4,4.45,3.975,0.4750000000000001,0.22562500000000008,0.11275964391691395,True,False,False,False
rolling_average,1993-01-18,1993-01-25,1,4.45,3.9708333333333337,0.4791666666666665,0.2296006944444443,0.11380504700643242,True,False,False,False
rolling_average,1993-01-18,1993-02-01,2,4.675,3.9708333333333337,0.7041666666666662,0.49585069444444374,0.1628915662650601,False,False,False,False
rolling_average,1993-01-18,1993-02-08,3,4.675,3.9708333333333337,0.7041666666666662,0.49585069444444374,0.1628915662650601,False,False,False,False
rolling_average,1993-01-18,1993-02-15,4,4.675,3.9708333333333337,0.7041666666666662,0.49585069444444374,0.1628915662650601,False,False,False,False
rolling_average,1993-02-15,1993-02-22,1,4.675,4.317083333333333,0.3579166666666671,0.1281043402777781,0.0796070617672954,False,False,False,False
rolling_average,1993-02-15,1993-03-01,2,3.8,4.317083333333333,0.5170833333333329,0.2673751736111107,0.12740619064729725,False,False,False,False
rolling_average,1993-02-15,1993-03-08,3,3.8,4.317083333333333,0.5170833333333329,0.2673751736111107,0.12740619064729725,False,False,False,False
rolling_average,1993-02-15,1993-03-15,4,3.8,4.317083333333333,0.5170833333333329,0.2673751736111107,0.12740619064729725,False,False,False,False
rolling_average,1993-03-15,1993-03-22,1,3.8,4.333333333333333,0.5333333333333332,0.28444444444444433,0.13114754098360654,False,False,False,False
rolling_average,1993-03-15,1993-03-29,2,3.8,4.333333333333333,0.5333333333333332,0.28444444444444433,0.13114754098360654,False,False,False,False
rolling_average,1993-03-15,1993-04-05,3,4.6,4.333333333333333,0.2666666666666666,0.07111111111111108,0.05970149253731342,False,False,False,False
rolling_average,1993-03-15,1993-04-12,4,4.6,4.333333333333333,0.2666666666666666,0.07111111111111108,0.05970149253731342,False,False,False,False
rolling_average,1993-04-12,1993-04-19,1,4.6,4.279166666666666,0.32083333333333375,0.10293402777777805,0.0722665415297983,False,False,False,False
rolling_average,1993-04-12,1993-04-26,2,4.6,4.279166666666666,0.32083333333333375,0.10293402777777805,0.0722665415297983,False,False,True,False
rolling_average,1993-04-12,1993-05-03,3,3.84,4.279166666666666,0.43916666666666604,0.19286736111111055,0.10818023196140807,False,False,True,False
rolling_average,1993-04-12,1993-05-10,4,3.84,4.279166666666666,0.43916666666666604,0.19286736111111055,0.10818023196140807,False,False,True,False
rolling_average,1993-05-10,1993-05-17,1,3.84,4.146250000000001,0.30625000000000124,0.09378906250000076,0.076694318359681,False,False,True,False
rolling_average,1993-05-10,1993-05-24,2,3.84,4.146250000000001,0.30625000000000124,0.09378906250000076,0.076694318359681,False,False,True,False
rolling_average,1993-05-10,1993-05-31,3,3.84,4.146250000000001,0.30625000000000124,0.09378906250000076,0.076694318359681,False,False,True,False
