model,origin_time,start_forecast_time,end_forecast_time,n_points,MAE,RMSE,sMAPE
rolling_average,1992-12-21,1992-12-28,1993-01-18,4,1.3624999999999985,1.3640472865703723,10.785484720137658
rolling_average,1993-01-18,1993-01-25,1993-02-15,4,1.21875,1.219951330996446,9.635898399157444
rolling_average,1993-02-15,1993-02-22,1993-03-15,4,1.9393749999999996,2.181634636574144,16.44782339038634
rolling_average,1993-03-15,1993-03-22,1993-04-12,4,1.375,1.5467259327725489,11.605915919413066
rolling_average,1993-04-12,1993-04-19,1993-05-10,4,1.3149999999999995,1.3258364760071695,11.050535712353978
rolling_average,1993-05-10,1993-05-17,1993-06-07,4,1.2481249999999995,1.2973524723451215,10.720465377853976
rolling_average,1993-06-07,1993-06-14,1993-07-05,4,1.8062499999999986,1.8062499999999986,14.310472889329029
rolling_average,1993-07-05,1993-07-12,1993-08-02,4,1.304374999999999,1.3070356489017418,10.442899266044405
rolling_average,1993-08-02,1993-08-09,1993-08-30,4,1.7533333333333356,1.7533333333333356,14.990025648332876
rolling_average,1993-08-30,1993-09-06,1993-09-27,4,1.002083333333335,1.002083333333335,7.768715174028924
rolling_average,1993-09-27,1993-10-04,1993-10-25,4,1.1187499999999986,1.1187499999999986,8.661988870070155
rolling_average,1993-10-25,1993-11-01,1993-11-22,4,2.004999999999999,2.004999999999999,17.340540540540534
rolling_average,1993-11-22,1993-11-29,1993-12-20,4,1.470833333333334,1.4933528644556116,11.707588902215107
rolling_average,1993-12-20,1993-12-27,1994-01-17,4,1.4308333333333336,1.4309214203131881,11.956731989955308
rolling_average,1994-01-17,1994-01-24,1994-02-14,4,1.165,1.2178875153313635,9.661026834712803
rolling_average,1994-02-14,1994-02-21,1994-03-14,4,1.2491666666666648,1.2715437904811249,9.695160085937884
rolling_average,1994-03-14,1994-03-21,1994-04-11,4,1.2208333333333332,1.2249220496740916,9.377689100569379
rolling_average,1994-04-11,1994-04-18,1994-05-09,4,1.3225000000000007,1.5793513524369587,10.855026367695643
rolling_average,1994-05-09,1994-05-16,1994-06-06,4,1.78625,1.941183595129528,14.79575643697851
rolling_average,1994-06-06,1994-06-13,1994-07-04,4,1.1333333333333342,1.1337985411634848,8.699527286532817
rolling_average,1994-07-04,1994-07-11,1994-08-01,4,1.2674999999999996,1.2728805914146069,10.033555565367122
rolling_average,1994-08-01,1994-08-08,1994-08-29,4,1.7300000000000004,1.7300000000000004,14.605318699873369
rolling_average,1994-08-29,1994-09-05,1994-09-26,4,1.2812500000000018,1.2812500000000018,9.736404654476384
rolling_average,1994-09-26,1994-10-03,1994-10-24,4,1.6075,1.6075,13.64166755065238
rolling_average,1994-10-24,1994-10-31,1994-11-21,4,1.3637500000000005,1.3855211113512496,10.959484011471393
rolling_average,1994-11-21,1994-11-28,1994-12-19,4,1.0062499999999979,1.0083440942951942,7.718774126897759
rolling_average,1994-12-19,1994-12-26,1995-01-16,4,1.7856249999999987,1.8251553872204949,15.30823324886417
rolling_average,1995-01-16,1995-01-23,1995-02-13,4,1.5924999999999994,1.6669170645236067,13.285534267584008
rolling_average,1995-02-13,1995-02-20,1995-03-13,4,1.322916666666666,1.323448056005389,10.23410792143704
rolling_average,1995-03-13,1995-03-20,1995-04-10,4,1.2562499999999988,1.2563121875155063,9.731255329206746
rolling_average,1995-04-10,1995-04-17,1995-05-08,4,1.3225000000000007,1.572102493478083,10.855433707289214
rolling_average,1995-05-08,1995-05-15,1995-06-05,4,1.8320833333333342,1.9569248480999764,15.131534274128203
rolling_average,1995-06-05,1995-06-12,1995-07-03,4,1.3895833333333334,1.3974368898490948,11.007851622000553
rolling_average,1995-07-03,1995-07-10,1995-07-31,4,1.4708333333333332,1.4708333333333332,12.750586960447894
rolling_average,1995-07-31,1995-08-07,1995-08-28,4,1.7716666666666647,1.7716666666666647,13.962041111184064
rolling_average,1995-08-28,1995-09-04,1995-09-25,4,1.4625000000000021,1.4625000000000021,11.084793936522992
rolling_average,1995-09-25,1995-10-02,1995-10-23,4,1.6666666666666679,1.6666666666666679,13.966480446927385
rolling_average,1995-10-23,1995-10-30,1995-11-20,4,1.3479166666666669,1.3694268367134885,10.413172228156526
rolling_average,1995-11-20,1995-11-27,1995-12-18,4,1.4583333333333357,1.461584174316046,10.788343739800162
rolling_average,1995-12-18,1995-12-25,1996-01-15,4,1.8758333333333344,1.895152441830942,15.420319983136718
rolling_average,1996-01-15,1996-01-22,1996-02-12,4,1.6575000000000006,1.7563238912885957,13.290298746984371
rolling_average,1996-02-12,1996-02-19,1996-03-11,4,1.2354166666666657,1.2405283512591623,9.185472258032341
rolling_average,1996-03-11,1996-03-18,1996-04-08,4,1.0350000000000001,1.0455753333824296,8.026706754696995
rolling_average,1996-04-08,1996-04-15,1996-05-06,4,1.2350000000000003,1.2380327136227058,9.674990634221162
rolling_average,1996-05-06,1996-05-13,1996-06-03,4,1.1500000000000012,1.1532562594670808,8.376970273987103
rolling_average,1996-06-03,1996-06-10,1996-07-01,4,1.2979166666666666,1.304765570684805,9.683009985465112
rolling_average,1996-07-01,1996-07-08,1996-07-29,4,1.8116666666666656,1.8116666666666656,14.371653335096179
rolling_average,1996-07-29,1996-08-05,1996-08-26,4,1.345833333333335,1.345833333333335,9.663425579655957
rolling_average,1996-08-26,1996-09-02,1996-09-23,4,1.454166666666664,1.454166666666664,11.516251443656143
rolling_average,1996-09-23,1996-09-30,1996-10-21,4,1.8145833333333328,1.9009637541111724,13.327454440966754
rolling_average,1996-10-21,1996-10-28,1996-11-18,4,1.8374999999999995,1.8606009613831758,12.685920084700737
rolling_average,1996-11-18,1996-11-25,1996-12-16,4,1.759583333333334,1.7596012411275972,13.212994747480725
rolling_average,1996-12-16,1996-12-23,1997-01-13,4,1.3674999999999997,1.5529027479029207,10.217412079738585
rolling_average,1997-01-13,1997-01-20,1997-02-10,4,0.9729166666666647,0.978042350963277,6.75941269728167
rolling_average,1997-02-10,1997-02-17,1997-03-10,4,1.4474999999999998,1.4620614252182125,10.73006753109669
rolling_average,1997-03-10,1997-03-17,1997-04-07,4,1.7145833333333336,1.7321544468602617,12.913626595162267
rolling_average,1997-04-07,1997-04-14,1997-05-05,4,1.4249999999999985,1.427013380280646,9.847504200953642
rolling_average,1997-05-05,1997-05-12,1997-06-02,4,1.2783333333333333,1.2871167174908593,9.121518566899912
rolling_average,1997-06-02,1997-06-09,1997-06-30,4,1.8183333333333334,1.8183333333333334,13.744881889763779
rolling_average,1997-06-30,1997-07-07,1997-07-28,4,1.5437500000000028,1.5437500000000028,10.481646509654169
