model,origin_time,forecast_time,horizon_step,y_true,y_pred,abs_error,squared_error,sMAPE_point,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics
seasonal_naive,1992-12-21,1992-12-28,1,13.2,9.84,3.3599999999999994,11.289599999999997,0.29166666666666663,False,False,False,True
seasonal_naive,1992-12-21,1993-01-04,2,13.35,12.85,0.5,0.25,0.03816793893129771,True,False,False,False
seasonal_naive,1992-12-21,1993-01-11,3,13.35,12.85,0.5,0.25,0.03816793893129771,True,False,False,False
seasonal_naive,1992-12-21,1993-01-18,4,13.35,12.85,0.5,0.25,0.03816793893129771,True,False,False,False
seasonal_naive,1993-01-18,1993-01-25,1,13.35,12.85,0.5,0.25,0.03816793893129771,True,False,False,False
seasonal_naive,1993-01-18,1993-02-01,2,13.225,12.7,0.5250000000000004,0.2756250000000004,0.04050144648023147,False,False,False,False
seasonal_naive,1993-01-18,1993-02-08,3,13.225,12.7,0.5250000000000004,0.2756250000000004,0.04050144648023147,False,False,False,False
seasonal_naive,1993-01-18,1993-02-15,4,13.225,12.7,0.5250000000000004,0.2756250000000004,0.04050144648023147,False,False,False,False
seasonal_naive,1993-02-15,1993-02-22,1,13.225,12.7,0.5250000000000004,0.2756250000000004,0.04050144648023147,False,False,False,False
seasonal_naive,1993-02-15,1993-03-01,2,10.5,10.0,0.5,0.25,0.04878048780487805,False,False,False,False
seasonal_naive,1993-02-15,1993-03-08,3,10.5,10.0,0.5,0.25,0.04878048780487805,False,False,False,False
seasonal_naive,1993-02-15,1993-03-15,4,10.5,10.0,0.5,0.25,0.04878048780487805,False,False,False,False
seasonal_naive,1993-03-15,1993-03-22,1,10.5,10.0,0.5,0.25,0.04878048780487805,False,False,False,False
seasonal_naive,1993-03-15,1993-03-29,2,10.5,10.0,0.5,0.25,0.04878048780487805,False,False,False,False
seasonal_naive,1993-03-15,1993-04-05,3,13.25,13.0,0.25,0.0625,0.01904761904761905,False,False,False,False
seasonal_naive,1993-03-15,1993-04-12,4,13.25,13.0,0.25,0.0625,0.01904761904761905,False,False,False,False
seasonal_naive,1993-04-12,1993-04-19,1,13.25,13.0,0.25,0.0625,0.01904761904761905,False,False,False,False
seasonal_naive,1993-04-12,1993-04-26,2,13.25,13.0,0.25,0.0625,0.01904761904761905,False,False,True,False
seasonal_naive,1993-04-12,1993-05-03,3,10.620000000000001,12.725,2.1049999999999986,4.431024999999995,0.1803384022274576,False,False,True,False
seasonal_naive,1993-04-12,1993-05-10,4,10.620000000000001,12.725,2.1049999999999986,4.431024999999995,0.1803384022274576,False,False,True,False
seasonal_naive,1993-05-10,1993-05-17,1,10.620000000000001,12.725,2.1049999999999986,4.431024999999995,0.1803384022274576,False,False,True,False
seasonal_naive,1993-05-10,1993-05-24,2,10.620000000000001,12.725,2.1049999999999986,4.431024999999995,0.1803384022274576,False,False,True,False
seasonal_naive,1993-05-10,1993-05-31,3,10.620000000000001,10.34,0.28000000000000114,0.07840000000000064,0.026717557251908504,False,False,True,False
seasonal_naive,1993-05-10,1993-06-07,4,13.525,10.34,3.1850000000000005,10.144225000000004,0.26691808087156926,False,False,True,False
seasonal_naive,1993-06-07,1993-06-14,1,13.525,10.34,3.1850000000000005,10.144225000000004,0.26691808087156926,False,False,True,False
seasonal_naive,1993-06-07,1993-06-21,2,13.525,10.34,3.1850000000000005,10.144225000000004,0.26691808087156926,False,False,True,False
seasonal_naive,1993-06-07,1993-06-28,3,13.525,10.34,3.1850000000000005,10.144225000000004,0.26691808087156926,False,False,True,False
seasonal_naive,1993-06-07,1993-07-05,4,13.525,13.05,0.47499999999999964,0.22562499999999966,0.0357478833490122,False,False,False,False
seasonal_naive,1993-07-05,1993-07-12,1,13.525,13.05,0.47499999999999964,0.22562499999999966,0.0357478833490122,False,False,False,False
seasonal_naive,1993-07-05,1993-07-19,2,13.525,13.05,0.47499999999999964,0.22562499999999966,0.0357478833490122,False,False,False,False
seasonal_naive,1993-07-05,1993-07-26,3,13.525,13.05,0.47499999999999964,0.22562499999999966,0.0357478833490122,False,False,False,False
seasonal_naive,1993-07-05,1993-08-02,4,10.82,10.440000000000001,0.379999999999999,0.14439999999999925,0.03574788334901213,False,False,False,False
seasonal_naive,1993-08-02,1993-08-09,1,10.82,10.440000000000001,0.379999999999999,0.14439999999999925,0.03574788334901213,False,True,False,False
seasonal_naive,1993-08-02,1993-08-16,2,10.82,10.440000000000001,0.379999999999999,0.14439999999999925,0.03574788334901213,False,True,False,False
seasonal_naive,1993-08-02,1993-08-23,3,10.82,10.440000000000001,0.379999999999999,0.14439999999999925,0.03574788334901213,False,True,False,False
seasonal_naive,1993-08-02,1993-08-30,4,10.82,10.440000000000001,0.379999999999999,0.14439999999999925,0.03574788334901213,False,True,False,False
seasonal_naive,1993-08-30,1993-09-06,1,13.4,12.95,0.45000000000000107,0.20250000000000096,0.03415559772296023,False,True,False,False
seasonal_naive,1993-08-30,1993-09-13,2,13.4,12.95,0.45000000000000107,0.20250000000000096,0.03415559772296023,False,True,False,False
seasonal_naive,1993-08-30,1993-09-20,3,13.4,12.95,0.45000000000000107,0.20250000000000096,0.03415559772296023,False,True,False,False
seasonal_naive,1993-08-30,1993-09-27,4,13.4,12.95,0.45000000000000107,0.20250000000000096,0.03415559772296023,False,True,False,False
seasonal_naive,1993-09-27,1993-10-04,1,13.475,13.05,0.42499999999999893,0.1806249999999991,0.032045240339302464,False,False,False,False
seasonal_naive,1993-09-27,1993-10-11,2,13.475,13.05,0.42499999999999893,0.1806249999999991,0.032045240339302464,False,False,False,False
seasonal_naive,1993-09-27,1993-10-18,3,13.475,13.05,0.42499999999999893,0.1806249999999991,0.032045240339302464,False,False,False,False
seasonal_naive,1993-09-27,1993-10-25,4,13.475,13.05,0.42499999999999893,0.1806249999999991,0.032045240339302464,False,False,False,False
seasonal_naive,1993-10-25,1993-11-01,1,10.559999999999999,10.32,0.23999999999999844,0.05759999999999925,0.022988505747126287,False,False,False,True
seasonal_naive,1993-10-25,1993-11-08,2,10.559999999999999,10.32,0.23999999999999844,0.05759999999999925,0.022988505747126287,False,False,False,True
seasonal_naive,1993-10-25,1993-11-15,3,10.559999999999999,10.32,0.23999999999999844,0.05759999999999925,0.022988505747126287,False,False,False,True
seasonal_naive,1993-10-25,1993-11-22,4,10.559999999999999,10.32,0.23999999999999844,0.05759999999999925,0.022988505747126287,False,False,False,True
seasonal_naive,1993-11-22,1993-11-29,1,10.559999999999999,10.32,0.23999999999999844,0.05759999999999925,0.022988505747126287,False,False,False,True
seasonal_naive,1993-11-22,1993-12-06,2,13.8,13.2,0.6000000000000014,0.3600000000000017,0.04444444444444455,False,False,False,True
