model,origin_time,start_forecast_time,end_forecast_time,n_points,MAE,RMSE,sMAPE
time_regression,1992-12-21,1992-12-28,1993-01-18,4,3.6921198578393164,3.692163743536899,24.35736588111206
time_regression,1993-01-18,1993-01-25,1993-02-15,4,3.500278434488644,3.5004108752979173,23.32589326254312
time_regression,1993-02-15,1993-02-22,1993-03-15,4,6.090350109904739,6.198655599793401,43.2118970579363
time_regression,1993-03-15,1993-03-22,1993-04-12,4,1.422579031985208,1.991076828291258,11.934166603155422
time_regression,1993-04-12,1993-04-19,1993-05-10,4,5.594425028928358,5.740540704701983,38.452174486656304
time_regression,1993-05-10,1993-05-17,1993-06-07,4,2.4818536541108043,2.8002877302245657,20.23459868321036
time_regression,1993-06-07,1993-06-14,1993-07-05,4,4.480626257969311,4.480693391508034,28.420684342180238
time_regression,1993-07-05,1993-07-12,1993-08-02,4,4.619511877722511,4.759686309851552,30.83762569556302
time_regression,1993-08-02,1993-08-09,1993-08-30,4,4.245680866808236,4.2457642649541105,32.803139450666066
time_regression,1993-08-30,1993-09-06,1993-09-27,4,3.2577466261737182,3.257807426714155,21.67650766054622
time_regression,1993-09-27,1993-10-04,1993-10-25,4,2.8115869902520902,2.8116751806282556,18.89396491060554
time_regression,1993-10-25,1993-11-01,1993-11-22,4,6.672935221454626,6.672964518939283,48.018854271031884
time_regression,1993-11-22,1993-11-29,1993-12-20,4,2.272611960342269,2.6881825656904903,16.6513781148252
time_regression,1993-12-20,1993-12-27,1994-01-17,4,7.111856228636142,7.235129911305017,47.18843054493088
time_regression,1994-01-17,1994-01-24,1994-02-14,4,3.7588312783765696,3.944553313670576,27.309949245874705
time_regression,1994-02-14,1994-02-21,1994-03-14,4,6.0490046044265675,6.054341996731403,36.64591386428637
time_regression,1994-03-14,1994-03-21,1994-04-11,4,5.745740691721267,5.746308044207263,34.829383769034514
time_regression,1994-04-11,1994-04-18,1994-05-09,4,7.215144396184528,7.331576814754939,46.06932247071046
time_regression,1994-05-09,1994-05-16,1994-06-06,4,4.092796071576155,4.264488286142253,30.495398475624356
time_regression,1994-06-06,1994-06-13,1994-07-04,4,5.67773132739535,5.677973049313542,34.55171790291372
time_regression,1994-07-04,1994-07-11,1994-08-01,4,6.676045255033459,6.772382213921151,41.2231888563688
time_regression,1994-08-01,1994-08-08,1994-08-29,4,6.606949211829164,6.606985861331705,46.25580513348574
time_regression,1994-08-29,1994-09-05,1994-09-26,4,4.9201192101731515,4.920151309004827,30.258874114645423
time_regression,1994-09-26,1994-10-03,1994-10-24,4,8.045902812354388,8.045922522844315,53.62874849374242
time_regression,1994-10-24,1994-10-31,1994-11-21,4,5.049044026948961,5.164061122315177,33.20486753303217
time_regression,1994-11-21,1994-11-28,1994-12-19,4,6.683961073288311,6.6844738378341235,39.59890067226397
time_regression,1994-12-19,1994-12-26,1995-01-16,4,9.588260798975051,9.691925944710425,60.297193180030156
time_regression,1995-01-16,1995-01-23,1995-02-13,4,4.932794742850346,5.191555439978547,34.72620598313223
time_regression,1995-02-13,1995-02-20,1995-03-13,4,8.568950168825358,8.569001858143706,47.94658155249401
time_regression,1995-03-13,1995-03-20,1995-04-10,4,8.292730408186367,8.292732316427754,46.89435381155808
time_regression,1995-04-10,1995-04-17,1995-05-08,4,10.371831055877564,10.454503748071838,60.025313733718605
time_regression,1995-05-08,1995-05-15,1995-06-05,4,6.908231337682847,7.022804768624364,46.295302209648135
time_regression,1995-06-05,1995-06-12,1995-07-03,4,9.060320186333843,9.148465560291887,51.99733954487277
time_regression,1995-07-03,1995-07-10,1995-07-31,4,8.518812982608505,8.518838625179475,56.56798350413677
time_regression,1995-07-31,1995-08-07,1995-08-28,4,7.888652800063074,7.8886655893104365,45.02826283209566
time_regression,1995-08-28,1995-09-04,1995-09-25,4,7.314600036240403,7.314616740020459,41.60203457491124
time_regression,1995-09-25,1995-10-02,1995-10-23,4,11.130966438917676,11.1309750257237,66.79051829725043
time_regression,1995-10-23,1995-10-30,1995-11-20,4,7.0477116305999745,7.167465368959322,42.181581245770914
time_regression,1995-11-20,1995-11-27,1995-12-18,4,9.21161261870859,9.21221508760224,48.870725469358604
time_regression,1995-12-18,1995-12-25,1996-01-15,4,13.019500086523095,13.103035403734376,71.85401767613375
time_regression,1996-01-15,1996-01-22,1996-02-12,4,8.094277035047453,8.264710274380683,49.48743448145732
time_regression,1996-02-12,1996-02-19,1996-03-11,4,11.503454500867292,11.504025618506121,58.058599626631484
time_regression,1996-03-11,1996-03-18,1996-04-08,4,12.537875155611765,12.58046946764077,65.54940450427678
time_regression,1996-04-08,1996-04-15,1996-05-06,4,10.387458316052598,10.438788208336812,59.00912244956113
time_regression,1996-05-06,1996-05-13,1996-06-03,4,11.432428487432002,11.432762911213409,57.11703150478998
time_regression,1996-06-03,1996-06-10,1996-07-01,4,12.41807151152334,12.474988899090809,62.42044228747757
time_regression,1996-07-01,1996-07-08,1996-07-29,4,12.584049314385016,12.584056480192809,69.94235665495361
time_regression,1996-07-29,1996-08-05,1996-08-26,4,10.743076252677747,10.743081475756874,53.791921938057484
time_regression,1996-08-26,1996-09-02,1996-09-23,4,13.716327478876314,13.716331897099533,73.12189838986956
time_regression,1996-09-23,1996-09-30,1996-10-21,4,10.76944770474861,10.846815534598845,55.471496912295564
