category,model,event_type,MAE,RMSE,sMAPE,n_points
electronic,rolling_average,is_back_to_school,1.5094383333333337,1.9441177856764063,10.463180722197311,250
electronic,event_ridge,is_back_to_school,1.517207428894505,2.3095698792086137,9.855783503798914,250
electronic,event_random_forest,is_back_to_school,1.7947374260782536,2.5832854054835654,11.379031762810078,84
electronic,seasonal_naive,is_back_to_school,2.1893199999999995,3.3701630524352972,14.175577237195297,250
electronic,time_regression,is_back_to_school,2.798971804990958,3.9226026668337273,17.658621680310294,250
electronic,event_random_forest,is_exam_season,1.5703719329289207,2.195476079203149,10.439223311278928,103
electronic,event_ridge,is_exam_season,1.6846656492808851,2.7159542614425716,11.392411104061113,316
electronic,rolling_average,is_exam_season,2.1912974683544304,2.990588227368507,14.60480930263558,316
electronic,seasonal_naive,is_exam_season,3.0750158227848106,5.0830947244614775,19.16443233674864,316
electronic,time_regression,is_exam_season,3.079359744959831,4.4401524225402955,19.853275260886445,316
electronic,event_random_forest,is_new_year_fitness,1.5279894595305867,1.96568034072524,10.779079250414721,48
electronic,event_ridge,is_new_year_fitness,1.7263346200074063,2.4404202042783965,11.64718274877215,147
electronic,rolling_average,is_new_year_fitness,1.785303287981859,2.265792341345216,12.313031253679984,147
electronic,time_regression,is_new_year_fitness,2.4570168731708955,3.4845898872452388,16.859536820724095,147
electronic,seasonal_naive,is_new_year_fitness,2.624251700680272,3.6108594007860373,17.119326353918925,147
electronic,event_ridge,is_q4_holiday_electronics,1.4188501404479306,2.279204791067955,9.420920155234898,306
electronic,event_random_forest,is_q4_holiday_electronics,1.6377794492677555,2.498282638599863,11.136439115163432,106
electronic,rolling_average,is_q4_holiday_electronics,1.840019063180828,2.6940996738859244,11.7137244246219,306
electronic,seasonal_naive,is_q4_holiday_electronics,2.1910947712418296,3.368389592626188,13.949581537857119,306
electronic,time_regression,is_q4_holiday_electronics,2.716479015888035,4.006199645819077,16.955889096698794,306
fitness,event_ridge,is_back_to_school,1.4151870424914919,2.121356256444401,9.758455849847413,250
fitness,event_random_forest,is_back_to_school,1.5886198239536284,2.1032449679129175,11.994080429025814,84
fitness,seasonal_naive,is_back_to_school,1.6157000000000001,2.337277839710119,11.366072245834529,250
fitness,rolling_average,is_back_to_school,1.6536316666666662,2.0492372834179053,11.67085305627224,250
fitness,time_regression,is_back_to_school,1.8820575096002012,2.6917825114192335,13.493881990880386,250
fitness,event_random_forest,is_exam_season,1.3990387088898273,2.0560489976669563,9.738617561636659,103
fitness,event_ridge,is_exam_season,1.4195395104539108,2.090699739312589,10.186796436201574,316
fitness,rolling_average,is_exam_season,1.7778349156118145,2.2777302555685917,12.838692730649745,316
fitness,time_regression,is_exam_season,2.100066765195354,2.896118321296699,14.919699877147,316
fitness,seasonal_naive,is_exam_season,2.1098575949367087,3.554446838250555,14.520653186474775,316
fitness,event_random_forest,is_new_year_fitness,1.2146123278986838,1.9222065831263744,8.438820166914972,48
fitness,event_ridge,is_new_year_fitness,1.4602815013245896,2.0785126758284935,10.723065941584553,147
fitness,time_regression,is_new_year_fitness,1.7391748398637077,2.4675562859618374,13.142566293648251,147
fitness,seasonal_naive,is_new_year_fitness,1.7458503401360543,2.5208451368701006,13.242109084758363,147
fitness,rolling_average,is_new_year_fitness,1.7709325396825406,2.193309835507346,13.119670025382396,147
fitness,event_ridge,is_q4_holiday_electronics,1.2603239000662676,1.9878347120418998,8.861603376420478,306
fitness,event_random_forest,is_q4_holiday_electronics,1.4296500536776784,2.0652428593638605,10.609098701724546,106
fitness,rolling_average,is_q4_holiday_electronics,1.528168572984749,1.9261867467666707,10.945742665210147,306
fitness,seasonal_naive,is_q4_holiday_electronics,1.6463235294117644,2.4427296923059667,11.949722040623922,306
fitness,time_regression,is_q4_holiday_electronics,1.8967260087152076,2.829616998591685,13.221109079019108,306
school,event_ridge,is_back_to_school,1.7729165120742836,2.2915057786469406,9.232267235747479,250
school,seasonal_naive,is_back_to_school,1.8403,2.6396027163192572,9.578790053029373,250
school,rolling_average,is_back_to_school,2.1294966666666664,2.265388526892854,11.115712198523317,250
school,time_regression,is_back_to_school,2.2779343257110205,2.661973613399308,11.709420992600043,250
school,event_random_forest,is_back_to_school,2.3451901101248365,2.9312077381672133,12.05131755130193,84
school,event_random_forest,is_exam_season,1.6903501259643294,2.2439298042943174,8.843912735511253,103
school,event_ridge,is_exam_season,1.732408699700861,2.144129080607931,9.136726869116876,316
school,seasonal_naive,is_exam_season,1.8437341772151896,2.6360150147956,9.738982763262388,316
school,time_regression,is_exam_season,2.218745994323485,2.565544447554164,11.663886274267467,316
