category,model,RMSE,sMAPE,MAE,n_points
electronic,event_ridge,2.446399255034878,10.76462972670402,1.6108693806210361,1712
electronic,event_random_forest,2.3451447869316078,10.784975716302988,1.6302476332837692,572
electronic,rolling_average,2.520259010037249,12.454289171101292,1.8566043613707166,1712
electronic,seasonal_naive,4.109316794922003,16.802281498072414,2.6400817757009345,1712
electronic,time_regression,4.1334603795235845,18.42663418970794,2.882152912325503,1712
fitness,event_random_forest,2.0168158209843363,10.207063564925349,1.3840928947758084,572
fitness,event_ridge,2.132079529662831,9.903551789717566,1.4076330726915844,1712
fitness,rolling_average,2.250153667808334,12.021495128733225,1.690846475856698,1712
fitness,seasonal_naive,2.976490894194756,12.904649201310752,1.8656308411214952,1712
fitness,time_regression,2.8727880071193725,14.08948744142583,1.997308950877885,1712
school,event_ridge,2.184851319551392,9.03992658826044,1.726930355342186,1712
school,seasonal_naive,2.5619714864135905,9.252012257480137,1.7620560747663554,1712
school,event_random_forest,2.344244559871977,9.794505276717032,1.8600293229296354,572
school,rolling_average,2.324558877761801,11.341182277610535,2.1654083917445486,1712
school,time_regression,2.555073305426668,11.390614270440558,2.1761664352180095,1712
