week_start,week_end,year,week_of_year,bank_holidays_in_week,has_bank_holiday,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics,weeks_to_new_year_start,weeks_to_bts_start,weeks_to_exam_start,weeks_to_q4_start
04/01/1988,10/01/1988,1988,1,0,0,1,0,0,0,-1,32,16,43
11/01/1988,17/01/1988,1988,2,0,0,1,0,0,0,-2,31,15,42
18/01/1988,24/01/1988,1988,3,0,0,1,0,0,0,-3,30,14,41
25/01/1988,31/01/1988,1988,4,0,0,1,0,0,0,-4,29,13,40
01/02/1988,07/02/1988,1988,5,0,0,0,0,0,0,-5,28,12,39
08/02/1988,14/02/1988,1988,6,0,0,0,0,0,0,-6,27,11,38
15/02/1988,21/02/1988,1988,7,0,0,0,0,0,0,-7,26,10,37
22/02/1988,28/02/1988,1988,8,0,0,0,0,0,0,-8,25,9,36
29/02/1988,06/03/1988,1988,9,0,0,0,0,0,0,-9,24,8,35
07/03/1988,13/03/1988,1988,10,0,0,0,0,0,0,-10,23,7,34
14/03/1988,20/03/1988,1988,11,0,0,0,0,0,0,-11,22,6,33
21/03/1988,27/03/1988,1988,12,0,0,0,0,0,0,-12,21,5,32
28/03/1988,03/04/1988,1988,13,1,1,0,0,0,0,-13,20,4,31
04/04/1988,10/04/1988,1988,14,1,1,0,0,0,0,-14,19,3,30
11/04/1988,17/04/1988,1988,15,0,0,0,0,0,0,-15,18,2,29
18/04/1988,24/04/1988,1988,16,0,0,0,0,0,0,-16,17,1,28
25/04/1988,01/05/1988,1988,17,0,0,0,0,1,0,-17,16,0,27
02/05/1988,08/05/1988,1988,18,1,1,0,0,1,0,-18,15,-1,26
09/05/1988,15/05/1988,1988,19,0,0,0,0,1,0,-19,14,-2,25
16/05/1988,22/05/1988,1988,20,0,0,0,0,1,0,-20,13,-3,24
23/05/1988,29/05/1988,1988,21,0,0,0,0,1,0,-21,12,-4,23
30/05/1988,05/06/1988,1988,22,1,1,0,0,1,0,-22,11,-5,22
06/06/1988,12/06/1988,1988,23,0,0,0,0,1,0,-23,10,-6,21
13/06/1988,19/06/1988,1988,24,0,0,0,0,1,0,-24,9,-7,20
20/06/1988,26/06/1988,1988,25,0,0,0,0,1,0,-25,8,-8,19
27/06/1988,03/07/1988,1988,26,0,0,0,0,1,0,-26,7,-9,18
04/07/1988,10/07/1988,1988,27,0,0,0,0,0,0,-27,6,-10,17
11/07/1988,17/07/1988,1988,28,0,0,0,0,0,0,-28,5,-11,16
18/07/1988,24/07/1988,1988,29,0,0,0,0,0,0,-29,4,-12,15
25/07/1988,31/07/1988,1988,30,0,0,0,0,0,0,-30,3,-13,14
01/08/1988,07/08/1988,1988,31,0,0,0,0,0,0,-31,2,-14,13
08/08/1988,14/08/1988,1988,32,0,0,0,0,0,0,-32,1,-15,12
15/08/1988,21/08/1988,1988,33,0,0,0,1,0,0,-33,0,-16,11
22/08/1988,28/08/1988,1988,34,0,0,0,1,0,0,-34,-1,-17,10
