date,category,demand,month_end,year,week_of_year,bank_holidays_in_week,has_bank_holiday,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics,weeks_to_new_year_start,weeks_to_bts_start,weeks_to_exam_start,weeks_to_q4_start
1988-01-01,electronic_goods,28.2,31/01/1988,1988,1,0,0,1,0,0,0,-1,32,16,43
1988-01-01,fitness_equipment,14.2,31/01/1988,1988,1,0,0,1,0,0,0,-1,32,16,43
1988-01-01,school_supplies,50.9,31/01/1988,1988,1,0,0,1,0,0,0,-1,32,16,43
1988-02-01,electronic_goods,24.8,28/02/1988,1988,6,0,0,0,0,0,0,-5,28,12,39
1988-02-01,fitness_equipment,13.8,28/02/1988,1988,6,0,0,0,0,0,0,-5,28,12,39
1988-02-01,school_supplies,50.2,28/02/1988,1988,6,0,0,0,0,0,0,-5,28,12,39
1988-03-01,electronic_goods,24.2,27/03/1988,1988,10,1,1,0,0,0,0,-10,23,7,34
1988-03-01,fitness_equipment,13.8,27/03/1988,1988,10,1,1,0,0,0,0,-10,23,7,34
1988-03-01,school_supplies,50.4,27/03/1988,1988,10,1,1,0,0,0,0,-10,23,7,34
1988-04-01,electronic_goods,30.2,24/04/1988,1988,14,1,1,0,0,1,0,-14,19,3,30
1988-04-01,fitness_equipment,14.4,24/04/1988,1988,14,1,1,0,0,1,0,-14,19,3,30
1988-04-01,school_supplies,51.0,24/04/1988,1988,14,1,1,0,0,1,0,-14,19,3,30
1988-05-01,electronic_goods,27.4,29/05/1988,1988,19,1,1,0,0,1,0,-18,15,-1,26
1988-05-01,fitness_equipment,14.2,29/05/1988,1988,19,1,1,0,0,1,0,-18,15,-1,26
1988-05-01,school_supplies,50.8,29/05/1988,1988,19,1,1,0,0,1,0,-18,15,-1,26
1988-06-01,electronic_goods,27.3,26/06/1988,1988,23,0,0,0,0,1,0,-23,10,-6,21
1988-06-01,fitness_equipment,14.6,26/06/1988,1988,23,0,0,0,0,1,0,-23,10,-6,21
1988-06-01,school_supplies,51.6,26/06/1988,1988,23,0,0,0,0,1,0,-23,10,-6,21
1988-07-01,electronic_goods,30.6,31/07/1988,1988,27,0,0,0,0,0,0,-27,6,-10,17
1988-07-01,fitness_equipment,14.9,31/07/1988,1988,27,0,0,0,0,0,0,-27,6,-10,17
1988-07-01,school_supplies,51.7,31/07/1988,1988,27,0,0,0,0,0,0,-27,6,-10,17
1988-08-01,electronic_goods,29.5,28/08/1988,1988,32,1,1,0,1,0,0,-31,2,-14,13
1988-08-01,fitness_equipment,15.1,28/08/1988,1988,32,1,1,0,1,0,0,-31,2,-14,13
1988-08-01,school_supplies,51.8,28/08/1988,1988,32,1,1,0,1,0,0,-31,2,-14,13
1988-09-01,electronic_goods,28.6,25/09/1988,1988,36,0,0,0,1,0,0,-36,-3,-19,8
1988-09-01,fitness_equipment,14.9,25/09/1988,1988,36,0,0,0,1,0,0,-36,-3,-19,8
1988-09-01,school_supplies,52.0,25/09/1988,1988,36,0,0,0,1,0,0,-36,-3,-19,8
1988-10-01,electronic_goods,29.3,30/10/1988,1988,41,0,0,0,0,0,1,-40,-7,-23,4
1988-10-01,fitness_equipment,15.6,30/10/1988,1988,41,0,0,0,0,0,1,-40,-7,-23,4
1988-10-01,school_supplies,52.7,30/10/1988,1988,41,0,0,0,0,0,1,-40,-7,-23,4
1988-11-01,electronic_goods,31.5,27/11/1988,1988,45,0,0,0,0,0,1,-45,-12,-28,-1
1988-11-01,fitness_equipment,15.6,27/11/1988,1988,45,0,0,0,0,0,1,-45,-12,-28,-1
1988-11-01,school_supplies,52.5,27/11/1988,1988,45,0,0,0,0,0,1,-45,-12,-28,-1
1988-12-01,electronic_goods,31.1,25/12/1988,1988,49,2,1,0,0,0,1,-49,-16,-32,-5
1988-12-01,fitness_equipment,15.8,25/12/1988,1988,49,2,1,0,0,0,1,-49,-16,-32,-5
