date,week_end,year,week_of_year,bank_holidays_in_week,has_bank_holiday,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics,weeks_to_new_year_start,weeks_to_bts_start,weeks_to_exam_start,weeks_to_q4_start
1988-01-01,31/01/1988,1988,4,0,0,1,0,0,0,-1,32,16,43
1988-02-01,28/02/1988,1988,9,0,0,0,0,0,0,-5,28,12,39
1988-03-01,27/03/1988,1988,13,1,1,0,0,0,0,-10,23,7,34
1988-04-01,24/04/1988,1988,17,1,1,0,0,1,0,-14,19,3,30
1988-05-01,29/05/1988,1988,22,1,1,0,0,1,0,-18,15,-1,26
1988-06-01,26/06/1988,1988,26,0,0,0,0,1,0,-23,10,-6,21
1988-07-01,31/07/1988,1988,30,0,0,0,0,0,0,-27,6,-10,17
1988-08-01,28/08/1988,1988,35,1,1,0,1,0,0,-31,2,-14,13
1988-09-01,25/09/1988,1988,39,0,0,0,1,0,0,-36,-3,-19,8
1988-10-01,30/10/1988,1988,44,0,0,0,0,0,1,-40,-7,-23,4
1988-11-01,27/11/1988,1988,48,0,0,0,0,0,1,-45,-12,-28,-1
1988-12-01,25/12/1988,1988,52,2,1,0,0,0,1,-49,-16,-32,-5
1989-01-01,29/01/1989,1989,5,0,0,1,0,0,0,-1,32,17,43
1989-02-01,26/02/1989,1989,9,0,0,0,0,0,0,-6,27,12,38
1989-03-01,26/03/1989,1989,13,1,1,0,0,0,0,-10,23,8,34
1989-04-01,30/04/1989,1989,17,0,0,0,0,0,0,-14,19,4,30
1989-05-01,28/05/1989,1989,22,1,1,0,0,1,0,-18,15,0,26
1989-06-01,25/06/1989,1989,26,0,0,0,0,1,0,-23,10,-5,21
1989-07-01,30/07/1989,1989,31,0,0,0,0,0,0,-27,6,-9,17
1989-08-01,27/08/1989,1989,35,1,1,0,1,0,0,-32,1,-14,12
1989-09-01,24/09/1989,1989,39,0,0,0,1,0,0,-36,-3,-18,8
1989-10-01,29/10/1989,1989,44,0,0,0,0,0,1,-40,-7,-22,4
1989-11-01,26/11/1989,1989,48,0,0,0,0,0,1,-45,-12,-27,-1
1989-12-01,31/12/1989,1989,52,2,1,0,0,0,1,-49,-16,-31,-5
1990-01-01,28/01/1990,1990,5,1,1,1,0,0,0,0,32,17,43
1990-02-01,25/02/1990,1990,9,0,0,0,0,0,0,-5,27,12,38
1990-03-01,25/03/1990,1990,13,0,0,0,0,0,0,-9,23,8,34
1990-04-01,29/04/1990,1990,18,1,1,0,0,1,0,-13,19,4,30
1990-05-01,27/05/1990,1990,22,1,1,0,0,1,0,-18,14,-1,25
1990-06-01,24/06/1990,1990,26,0,0,0,0,1,0,-22,10,-5,21
1990-07-01,29/07/1990,1990,31,0,0,0,0,0,0,-26,6,-9,17
1990-08-01,26/08/1990,1990,35,1,1,0,1,0,0,-31,1,-14,12
1990-09-01,30/09/1990,1990,39,0,0,0,1,0,0,-35,-3,-18,8
1990-10-01,28/10/1990,1990,44,0,0,0,0,0,1,-39,-7,-22,4
1990-11-01,25/11/1990,1990,48,0,0,0,0,0,1,-44,-12,-27,-1
1990-12-01,30/12/1990,1990,52,2,1,0,0,0,1,-48,-16,-31,-5
1991-01-01,27/01/1991,1991,5,0,0,1,0,0,0,-1,31,16,42
1991-02-01,24/02/1991,1991,9,0,0,0,0,0,0,-5,27,12,38
1991-03-01,31/03/1991,1991,13,1,1,0,0,0,0,-9,23,8,34
1991-04-01,28/04/1991,1991,18,1,1,0,0,1,0,-13,19,4,30
1991-05-01,26/05/1991,1991,22,1,1,0,0,1,0,-18,14,-1,25
1991-06-01,30/06/1991,1991,26,0,0,0,0,1,0,-22,10,-5,21
1991-07-01,28/07/1991,1991,31,0,0,0,0,0,0,-26,6,-9,17
1991-08-01,25/08/1991,1991,35,1,1,0,1,0,0,-31,1,-14,12
1991-09-01,29/09/1991,1991,40,0,0,0,1,0,0,-35,-3,-18,8
1991-10-01,27/10/1991,1991,44,0,0,0,0,0,1,-40,-8,-23,3
1991-11-01,24/11/1991,1991,48,0,0,0,0,0,1,-44,-12,-27,-1
1991-12-01,29/12/1991,1991,52,2,1,0,0,0,1,-48,-16,-31,-5
1992-01-01,26/01/1992,1992,5,0,0,1,0,0,0,-1,31,16,42
1992-02-01,23/02/1992,1992,9,0,0,0,0,0,0,-5,27,12,38
1992-03-01,29/03/1992,1992,14,0,0,0,0,0,0,-9,23,8,34
1992-04-01,26/04/1992,1992,18,1,1,0,0,1,0,-14,18,3,29
1992-05-01,31/05/1992,1992,22,1,1,0,0,1,0,-18,14,-1,25
1992-06-01,28/06/1992,1992,27,0,0,0,0,1,0,-22,10,-5,21
1992-07-01,26/07/1992,1992,31,0,0,0,0,0,0,-27,5,-10,16
1992-08-01,30/08/1992,1992,36,1,1,0,1,0,0,-31,1,-14,12
1992-09-01,27/09/1992,1992,40,0,0,0,1,0,0,-36,-4,-19,7
1992-10-01,25/10/1992,1992,44,0,0,0,0,0,1,-40,-8,-23,3
1992-11-01,29/11/1992,1992,49,0,0,0,0,0,1,-44,-12,-27,-1
1992-12-01,27/12/1992,1992,53,2,1,0,0,0,1,-49,-17,-32,-6
1993-01-01,31/01/1993,1993,4,0,0,1,0,0,0,-1,31,16,43
1993-02-01,28/02/1993,1993,8,0,0,0,0,0,0,-5,27,12,39
1993-03-01,28/03/1993,1993,13,0,0,0,0,0,0,-9,23,8,35
1993-04-01,25/04/1993,1993,17,1,1,0,0,1,0,-14,18,3,30
1993-05-01,30/05/1993,1993,22,1,1,0,0,1,0,-18,14,-1,26
1993-06-01,27/06/1993,1993,26,0,0,0,0,1,0,-23,9,-6,21
1993-07-01,25/07/1993,1993,30,0,0,0,0,0,0,-27,5,-10,17
1993-08-01,29/08/1993,1993,35,1,1,0,1,0,0,-31,1,-14,13
1993-09-01,26/09/1993,1993,39,0,0,0,1,0,0,-36,-4,-19,8
1993-10-01,31/10/1993,1993,43,0,0,0,0,0,0,-40,-8,-23,4
1993-11-01,28/11/1993,1993,48,0,0,0,0,0,1,-44,-12,-27,0
1993-12-01,26/12/1993,1993,52,2,1,0,0,0,1,-49,-17,-32,-5
1994-01-01,30/01/1994,1994,5,0,0,1,0,0,0,-1,32,16,43
1994-02-01,27/02/1994,1994,9,0,0,0,0,0,0,-6,27,11,38
1994-03-01,27/03/1994,1994,13,1,1,0,0,0,0,-10,23,7,34
1994-04-01,24/04/1994,1994,17,1,1,0,0,1,0,-14,19,3,30
1994-05-01,29/05/1994,1994,22,1,1,0,0,1,0,-18,15,-1,26
1994-06-01,26/06/1994,1994,26,0,0,0,0,1,0,-23,10,-6,21
1994-07-01,31/07/1994,1994,30,0,0,0,0,0,0,-27,6,-10,17
1994-08-01,28/08/1994,1994,35,1,1,0,1,0,0,-31,2,-14,13
1994-09-01,25/09/1994,1994,39,0,0,0,1,0,0,-36,-3,-19,8
